AAA,VN000000AAA4,BBG000BB42R4,"18,90","16,50","17,70","18,00","17,65","-0,05","-0,28","17,60","18,00","17,75","24.856,00","44.126,59"
AAM,VN000000AAM9,BBG000PDD0V4,"17,75","15,45","16,60","16,50","15,75","-0,85","-5,12","15,45","16,50","16,08","487,00","783,16"
AAT,VN000000AAT4,BBG00YQ95PD2,"15,35","13,35","14,35","14,35","14,70","0,35","2,44","14,10","14,70","14,37","11.867,00","17.051,58"
ABR,VN000000ABR6,BBG00L3G3992,"22,00","19,20","20,60","20,15","20,70","0,10","0,49","20,15","20,80","20,48","30,00","61,43"
ABS,VN000000ABS4,BBG00R8768Y5,"25,60","22,30","23,95","24,00","24,10","0,15","0,63","23,95","24,50","24,11","9.136,00","22.029,65"
ABT,VN000000ABT2,BBG000QMW140,"41,80","36,40","39,10","41,55","39,20","0,10","0,26","39,10","41,55","39,97","16,00","63,96"
ACB,VN000000ACB8,BBG000GYWBW2,"35,05","30,55","32,80","33,15","32,80","0,00","0,00","32,80","33,20","32,95","26.203,00","86.346,25"
ACC,VN000000ACC6,BBG000Q0SR00,"24,70","21,50","23,10","22,40","23,20","0,10","0,43","22,40","23,60","23,07","699,00","1.612,38"
ACL,VN000000ACL7,BBG000SW6J73,"24,60","21,40","23,00","23,20","22,90","-0,10","-0,43","22,40","23,20","22,75","1.235,00","2.809,68"
ADG,VN000000ADG5,BBG00R287D22,"53,20","46,30","49,75","49,70","50,30","0,55","1,11","49,70","50,40","50,03","1.034,00","5.172,59"
ADS,VN000000ADS0,BBG00D60X6Z6,"38,50","33,50","36,00","36,10","36,15","0,15","0,42","35,85","36,70","36,25","5.137,00","18.620,07"
AGG,VN000000AGG8,BBG00R4CKMT7,"55,90","48,65","52,30","52,10","51,80","-0,50","-0,96","51,00","52,60","51,90","3.649,00","18.938,67"
AGM,VN000000AGM6,BBG003NWY9K8,"61,70","53,70","57,70","57,00","57,90","0,20","0,35","53,70","60,00","56,26","10.084,00","56.737,37"
AGR,VN000000AGR5,BBG000PZH6N7,"21,45","18,65","20,05","20,30","20,30","0,25","1,25","20,10","20,35","20,22","8.618,00","17.427,40"
AMD,VN000000AMD3,BBG007GTX408,"7,35","6,39","6,87","6,98","7,11","0,24","3,49","6,90","7,11","7,00","70.854,00","49.607,00"
ANV,VN000000ANV3,BBG000P3VMH4,"44,40","38,60","41,50","42,30","40,15","-1,35","-3,25","40,00","42,30","40,97","3.579,00","14.661,52"
